date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-17,436.0,,,,,,,
2020-12-18,417.0,,,,,,,
2020-12-21,386.0,,,,,,,
2020-12-22,375.0,,,,,,,
2020-12-23,384.0,,,,,,,
2020-12-24,396.0,,,,,,,
2020-12-25,408.0,,,,,,,
2020-12-28,425.0,,,,,,,
2020-12-29,429.0,,,,,,,
2020-12-30,427.0,,,,,,,
2021-01-04,457.0,,,,,,,
2021-01-05,420.0,,,,,,,
2021-01-06,404.0,,,,,,,
2021-01-07,419.0,,,,,,,
2021-01-08,425.0,,,,,,,
2021-01-12,411.0,,,,,,,
2021-01-13,381.0,,,,,,,
2021-01-14,360.0,,,,,,,
2021-01-15,374.0,,,,,,,
2021-01-18,379.0,,,,,,,
2021-01-19,372.0,,,,,,,
2021-01-20,368.0,,,,,,,
2021-01-21,366.0,,,,,,,
2021-01-22,369.0,,,,,,,
2021-01-25,384.0,,,,,,,
2021-01-26,369.0,,,,,,,
2021-01-27,369.0,,,,,,,
2021-01-28,361.0,,,,,,,
2021-01-29,349.0,,,,,,,
2021-02-01,359.0,,,,,,,
2021-02-02,363.0,,,,,,,
2021-02-03,376.0,,,,,,,
2021-02-04,377.0,,,,,,,
2021-02-05,381.0,,,,,,,
2021-02-08,380.0,,,,,,,
2021-02-09,379.0,,,,,,,
2021-02-10,382.0,,,,,,,
2021-02-12,398.0,,,,,,,
2021-02-15,391.0,,,,,,,
2021-02-16,402.0,,,,,,,
2021-02-17,396.0,,,,,,,
2021-02-18,394.0,,,,,,,
2021-02-19,388.0,,,,,,,
2021-02-22,394.0,,,,,,,
2021-02-24,392.0,,,,,,,
2021-02-25,388.0,,,,,,,
2021-02-26,387.0,,,,,,,
2021-03-01,389.0,,,,,,,
2021-03-02,390.0,,,,,,,
2021-03-03,386.0,390.24,,,,,,
2021-03-04,390.0,389.32,,,,,,
2021-03-05,388.0,388.74,,,,,,
2021-03-08,388.0,388.78,,,,,,
2021-03-09,398.0,389.24,,,,,,
2021-03-10,403.0,389.62,,,,,,
2021-03-11,400.0,389.7,,,,,,
2021-03-12,417.0,389.88,,,,,,
2021-03-15,450.0,390.38,,,,,,
2021-03-16,451.0,390.82,,,,,,
2021-03-17,465.0,391.58,,,,,,
2021-03-18,492.0,392.28,,,,,,
2021-03-19,523.0,394.34,,,,,,
2021-03-22,511.0,396.48,,,,,,
2021-03-23,549.0,399.08,,,,,,
2021-03-24,532.0,401.22,,,,,,
2021-03-25,539.0,403.78,,,,,,
2021-03-26,573.0,407.62,,,,,,
2021-03-29,549.0,411.4,,,,,,
2021-03-30,555.0,415.02,,,,,,
2021-03-31,613.0,419.7,,,,,,
2021-04-01,626.0,424.78,,,,,,
2021-04-02,620.0,429.82,,,,,,
2021-04-05,631.0,435.12,,,,,,
2021-04-06,588.0,439.5,,,,,,
2021-04-07,622.0,444.26,,,,,,
2021-04-08,624.0,449.36,,,,,,
2021-04-09,679.0,455.56,,,,,,
2021-04-12,728.0,462.9,,,,,,
2021-04-13,692.0,469.76,,,,,,
2021-04-14,715.0,476.88,,,,,,
2021-04-15,692.0,483.46,,,,,,
2021-04-16,732.0,490.58,,,,,,
2021-04-19,730.0,497.64,,,,,,
2021-04-20,776.0,505.54,,,,,,
2021-04-21,757.0,513.08,,,,,,
2021-04-22,790.0,521.3,,,,,,
2021-04-23,827.0,530.2,,,,,,
2021-04-26,839.0,539.02,,,,,,
2021-04-27,782.0,546.84,,,,,,
2021-04-28,740.0,553.6,,,,,,
2021-04-30,744.0,560.56,,,,,,
2021-05-06,680.0,566.28,,,,,,
2021-05-07,687.0,572.26,,,,,,
2021-05-10,655.0,577.48,,,,,,
2021-05-11,668.0,583.0,,,,,,
2021-05-12,693.0,589.1,,,,,,
2021-05-13,681.0,594.98,,,,,,
2021-05-14,690.0,601.0,,,,,,
2021-05-17,620.0,605.6,,,,,,
2021-05-18,643.0,610.74,,,,,,
2021-05-19,654.0,616.02,,,,,,
2021-05-20,662.0,621.5,,,,,,
2021-05-21,650.0,626.74,,,,,,
2021-05-24,683.0,632.44,,,,,,
2021-05-25,695.0,638.28,,,,,,
2021-05-26,669.0,643.66,,,,,,
2021-05-27,672.0,648.76,,,,,,
2021-05-28,677.0,653.3,,,,,,
2021-05-31,684.0,657.96,,,,,,
2021-06-01,689.0,662.44,,,,,,
2021-06-02,676.0,666.12,,,,,,
2021-06-03,652.0,668.7,,,,,,
2021-06-04,681.0,672.1,,,,,,
2021-06-07,739.0,675.9,,,,,,
2021-06-08,709.0,679.44,,,,,,
2021-06-09,678.0,682.22,,,,,,
2021-06-10,653.0,683.82,,,,,,
2021-06-11,651.0,685.86,,,,,,
2021-06-14,653.0,687.82,,,,,,
2021-06-15,661.0,688.78,,,,,,
2021-06-16,667.0,689.6,,,,,,
2021-06-17,659.0,690.38,,,,,,
2021-06-18,675.0,691.26,,,,,,
2021-06-21,659.0,692.68,,,,,,
2021-06-22,697.0,694.18,,,,,,
2021-06-23,730.0,696.3,,,,,,
2021-06-24,691.0,696.54,,,,,,
2021-06-25,750.0,696.98,,,,,,
2021-06-28,741.0,697.96,,,,,,
2021-06-29,790.0,699.46,,,,,,
2021-06-30,801.0,701.64,,,,,,
2021-07-01,743.0,701.86,,,,,,
2021-07-02,744.0,702.14,,,,,,
2021-07-05,769.0,702.0,,,,,,
2021-07-06,814.0,703.14,,,,,,
2021-07-07,906.0,705.46,,,,,,
2021-07-08,903.0,706.98,,,,,,
2021-07-09,952.0,709.24,,,,,,
2021-07-12,1009.0,713.78,,,,,,
2021-07-13,1158.0,722.14,,,,,,
2021-07-14,1001.0,727.28,,,,,,
2021-07-15,1043.0,734.54,,,,,,
2021-07-16,1018.0,741.16,,,,,,
2021-07-19,1080.0,749.66,,,,,,
2021-07-20,1062.0,757.54,,,,,,
2021-07-21,1192.0,767.52,,,,,,
2021-07-26,1204.0,777.98,,,,,,
2021-07-27,1332.0,790.82,,,,,,
2021-07-28,1314.0,804.7,,,,,,
2021-07-29,1392.0,819.68,606.8866666666667,,,,,
2021-07-30,1424.0,835.08,613.4733333333334,,,,,
2021-08-02,1313.0,848.1,619.4466666666667,,,,,
2021-08-03,1335.0,861.8,625.7733333333333,,,,,
2021-08-04,1276.0,873.66,631.78,,,,,
2021-08-05,1398.0,887.72,638.54,,,,,
2021-08-06,1390.0,902.14,645.1666666666666,,,,,
2021-08-10,1546.0,919.62,652.7533333333333,,,,,
2021-08-11,1497.0,936.02,659.9,,,,,
2021-08-12,1557.0,953.48,667.42,,,,,
2021-08-13,1536.0,970.42,674.8133333333334,,,,,
2021-08-16,1468.0,986.26,681.5533333333333,,,,,
2021-08-17,1372.0,1000.66,687.9,,,,,
2021-08-18,1433.0,1015.7,694.76,,,,,
2021-08-19,1480.0,1030.52,701.8333333333334,,,,,
2021-08-20,1540.0,1047.14,709.2666666666667,,,,,
2021-08-23,1498.0,1063.54,716.5133333333333,,,,,
2021-08-24,1536.0,1081.2,724.2133333333334,,,,,
2021-08-25,1714.0,1102.46,733.24,,,,,
2021-08-26,1691.0,1123.22,742.02,,,,,
2021-08-27,1630.0,1142.6,750.36,,,,,
2021-08-30,1751.0,1164.28,759.5533333333333,,,,,
2021-08-31,1747.0,1186.04,768.7466666666667,,,,,
2021-09-01,1808.0,1208.7,778.36,,,,,
2021-09-02,1719.0,1229.9,787.36,,,,,
2021-09-03,1710.0,1250.16,796.2,,,,,
2021-09-06,1709.0,1269.74,805.1333333333333,,,,,
2021-09-07,1801.0,1291.94,814.68,,,,,
2021-09-08,1788.0,1312.7,824.1933333333334,,,,,
2021-09-09,1840.0,1334.68,834.1333333333333,,,,,
2021-09-10,1780.0,1354.48,843.6066666666667,,,,,
2021-09-13,1800.0,1374.46,853.1866666666666,,,,,
2021-09-14,1790.0,1395.4,862.6133333333333,,,,,
2021-09-15,1750.0,1415.52,871.7666666666667,,,,,
2021-09-16,1670.0,1433.54,880.36,,,,,
2021-09-17,1519.0,1447.64,887.9533333333334,,,,,
2021-09-21,1505.0,1459.62,895.46,,,,,
2021-09-22,1453.0,1470.62,902.6,,,,,
2021-09-24,1550.0,1482.58,910.28,,,,,
2021-09-27,1517.0,1492.74,917.7866666666666,,,,,
2021-09-28,1474.0,1499.06,924.9333333333333,,,,,
2021-09-29,1461.0,1508.26,932.0333333333333,,,,,
2021-09-30,1444.0,1516.28,939.0333333333333,,,,,
2021-10-01,1434.0,1524.6,946.0066666666667,,,,,
2021-10-04,1408.0,1531.16,952.7666666666667,,,,,
2021-10-05,1229.0,1534.5,958.3466666666667,,,,,
2021-10-06,1244.0,1535.54,964.0533333333333,,,,,
2021-10-07,1241.0,1536.28,969.7466666666667,,,,,
2021-10-08,1256.0,1534.76,975.5266666666666,,,,,
2021-10-11,1271.0,1533.9,981.4,,,,,
2021-10-12,1261.0,1531.28,987.2333333333333,837.985,,,,
2021-10-13,1201.0,1526.82,992.64,841.81,,,,
2021-10-14,1187.0,1524.3,997.9666666666667,845.66,,,,
2021-10-15,1227.0,1522.14,1003.56,849.865,,,,
2021-10-18,1231.0,1521.24,1009.1133333333333,854.145,,,,
2021-10-19,1320.0,1519.68,1015.2266666666667,858.825,,,,
2021-10-20,1266.0,1517.2,1021.0,863.175,,,,
2021-10-21,1217.0,1510.62,1026.3333333333333,867.22,,,,
2021-10-22,1205.0,1504.78,1031.3666666666666,871.12,,,,
2021-10-25,1207.0,1497.78,1036.4066666666668,875.01,,,,
2021-10-26,1232.0,1491.7,1041.52,879.035,,,,
2021-10-27,1217.0,1486.68,1046.3533333333332,882.835,,,,
2021-10-28,1197.0,1483.18,1050.8466666666666,886.72,,,,
2021-10-29,1171.0,1477.94,1055.2466666666667,890.555,,,,
2021-11-01,1142.0,1471.18,1059.2,894.17,,,,
2021-11-02,1125.0,1462.88,1063.1533333333334,897.67,,,,
2021-11-04,1148.0,1455.88,1067.2133333333334,901.355,,,,
2021-11-05,1110.0,1447.36,1070.7933333333333,905.0,,,,
2021-11-08,1089.0,1434.86,1074.3933333333334,908.645,,,,
2021-11-09,1087.0,1422.78,1077.94,912.21,,,,
2021-11-10,1111.0,1412.4,1081.26,915.87,77.88499999999999,,,
2021-11-11,1134.0,1400.06,1084.6466666666668,919.68,77.87,,,
2021-11-12,1116.0,1387.44,1087.9533333333334,923.42,77.75999999999999,,,
