date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-17,705.0,,,,,,,
2020-12-18,720.0,,,,,,,
2020-12-21,713.0,,,,,,,
2020-12-22,699.0,,,,,,,
2020-12-23,724.0,,,,,,,
2020-12-24,722.0,,,,,,,
2020-12-25,721.0,,,,,,,
2020-12-28,708.0,,,,,,,
2020-12-29,706.0,,,,,,,
2020-12-30,720.0,,,,,,,
2021-01-04,740.0,,,,,,,
2021-01-05,734.0,,,,,,,
2021-01-06,737.0,,,,,,,
2021-01-07,736.0,,,,,,,
2021-01-08,745.0,,,,,,,
2021-01-12,716.0,,,,,,,
2021-01-13,765.0,,,,,,,
2021-01-14,771.0,,,,,,,
2021-01-15,807.0,,,,,,,
2021-01-18,798.0,,,,,,,
2021-01-19,784.0,,,,,,,
2021-01-20,761.0,,,,,,,
2021-01-21,784.0,,,,,,,
2021-01-22,766.0,,,,,,,
2021-01-25,798.0,,,,,,,
2021-01-26,797.0,,,,,,,
2021-01-27,772.0,,,,,,,
2021-01-28,764.0,,,,,,,
2021-01-29,779.0,,,,,,,
2021-02-01,779.0,,,,,,,
2021-02-02,762.0,,,,,,,
2021-02-03,755.0,,,,,,,
2021-02-05,769.0,,,,,,,
2021-02-08,721.0,,,,,,,
2021-02-09,737.0,,,,,,,
2021-02-10,735.0,,,,,,,
2021-02-12,739.0,,,,,,,
2021-02-15,735.0,,,,,,,
2021-02-16,734.0,,,,,,,
2021-02-17,733.0,,,,,,,
2021-02-18,770.0,,,,,,,
2021-02-19,770.0,,,,,,,
2021-02-22,751.0,,,,,,,
2021-02-24,749.0,,,,,,,
2021-02-25,749.0,,,,,,,
2021-02-26,739.0,,,,,,,
2021-03-01,744.0,,,,,,,
2021-03-02,740.0,,,,,,,
2021-03-03,750.0,,,,,,,
2021-03-04,726.0,747.58,,,,,,
2021-03-05,723.0,747.94,,,,,,
2021-03-08,730.0,748.14,,,,,,
2021-03-09,723.0,748.34,,,,,,
2021-03-10,708.0,748.52,,,,,,
2021-03-11,749.0,749.02,,,,,,
2021-03-12,710.0,748.78,,,,,,
2021-03-15,739.0,749.14,,,,,,
2021-03-16,715.0,749.28,,,,,,
2021-03-17,728.0,749.72,,,,,,
2021-03-18,732.0,749.96,,,,,,
2021-03-19,727.0,749.7,,,,,,
2021-03-22,716.0,749.34,,,,,,
2021-03-23,718.0,748.96,,,,,,
2021-03-24,718.0,748.6,,,,,,
2021-03-25,715.0,748.0,,,,,,
2021-03-26,722.0,748.12,,,,,,
2021-03-29,719.0,747.2,,,,,,
2021-03-30,711.0,746.0,,,,,,
2021-03-31,713.0,744.12,,,,,,
2021-04-01,714.0,742.44,,,,,,
2021-04-02,706.0,740.88,,,,,,
2021-04-05,701.0,739.68,,,,,,
2021-04-06,690.0,737.8,,,,,,
2021-04-07,693.0,736.34,,,,,,
2021-04-08,700.0,734.38,,,,,,
2021-04-09,693.0,732.3,,,,,,
2021-04-12,686.0,730.58,,,,,,
2021-04-13,691.0,729.12,,,,,,
2021-04-14,693.0,727.4,,,,,,
2021-04-15,702.0,725.86,,,,,,
2021-04-16,700.0,724.62,,,,,,
2021-04-19,701.0,723.54,,,,,,
2021-04-20,690.0,721.96,,,,,,
2021-04-21,692.0,721.38,,,,,,
2021-04-22,651.0,719.66,,,,,,
2021-04-23,680.0,718.56,,,,,,
2021-04-26,680.0,717.38,,,,,,
2021-04-27,696.0,716.6,,,,,,
2021-04-28,691.0,715.74,,,,,,
2021-04-30,700.0,715.08,,,,,,
2021-05-06,685.0,713.38,,,,,,
2021-05-07,686.0,711.7,,,,,,
2021-05-11,684.0,710.36,,,,,,
2021-05-13,680.0,708.98,,,,,,
2021-05-14,692.0,707.84,,,,,,
2021-05-18,689.0,706.84,,,,,,
2021-05-19,689.0,705.74,,,,,,
2021-05-20,680.0,704.54,,,,,,
2021-05-21,681.0,703.16,,,,,,
2021-05-24,699.0,702.62,,,,,,
2021-05-25,699.0,702.14,,,,,,
2021-05-26,697.0,701.48,,,,,,
2021-05-27,676.0,700.54,,,,,,
2021-05-28,681.0,700.0,,,,,,
2021-05-31,693.0,698.88,,,,,,
2021-06-01,699.0,698.66,,,,,,
2021-06-02,680.0,697.48,,,,,,
2021-06-03,670.0,696.58,,,,,,
2021-06-04,660.0,695.22,,,,,,
2021-06-07,657.0,693.72,,,,,,
2021-06-08,705.0,693.28,,,,,,
2021-06-09,704.0,693.04,,,,,,
2021-06-10,683.0,692.34,,,,,,
2021-06-11,676.0,691.5,,,,,,
2021-06-14,680.0,690.8,,,,,,
2021-06-15,700.0,690.36,,,,,,
2021-06-16,700.0,689.98,,,,,,
2021-06-17,702.0,689.8,,,,,,
2021-06-18,705.0,689.64,,,,,,
2021-06-21,683.0,689.02,,,,,,
2021-06-22,684.0,688.58,,,,,,
2021-06-23,675.0,688.06,,,,,,
2021-06-24,710.0,688.46,,,,,,
2021-06-25,710.0,688.8,,,,,,
2021-06-28,716.0,689.12,,,,,,
2021-06-29,714.0,689.54,,,,,,
2021-06-30,715.0,690.12,,,,,,
2021-07-01,706.0,690.42,,,,,,
2021-07-02,713.0,690.82,,,,,,
2021-07-05,705.0,690.88,,,,,,
2021-07-06,686.0,690.6,,,,,,
2021-07-12,691.0,690.4,,,,,,
2021-07-13,690.0,690.4,,,,,,
2021-07-14,708.0,690.72,,,,,,
2021-07-15,702.0,691.74,,,,,,
2021-07-16,703.0,692.2,,,,,,
2021-07-19,698.0,692.56,,,,,,
2021-07-20,682.0,692.28,,,,,,
2021-07-21,711.0,692.68,,,,,,
2021-07-26,680.0,692.28,,,,,,
2021-07-27,680.0,692.18,,,,,,
2021-07-28,674.0,691.94,,,,,,
2021-07-29,683.0,691.92,,,,,,
2021-07-30,693.0,692.18,,,,,,
2021-08-02,686.0,692.06,,,,,,
2021-08-03,691.0,692.1,,,,,,
2021-08-04,693.0,692.18,,,,,,
2021-08-06,685.0,692.28,,,,,,
2021-08-10,677.0,692.2,,,,,,
2021-08-11,685.0,691.92,714.04,,,,,
2021-08-12,686.0,691.66,713.9133333333333,,,,,
2021-08-13,682.0,691.36,713.66,,,,,
2021-08-16,669.0,691.22,713.3666666666667,,,,,
2021-08-17,689.0,691.38,713.3,,,,,
2021-08-18,692.0,691.36,713.0866666666667,,,,,
2021-08-19,677.0,690.92,712.7866666666666,,,,,
2021-08-20,671.0,690.74,712.4533333333334,,,,,
2021-08-23,686.0,691.06,712.3066666666666,,,,,
2021-08-24,680.0,691.46,712.1333333333333,,,,,
2021-08-25,668.0,691.68,711.7866666666666,,,,,
2021-08-26,651.0,690.6,711.1933333333334,,,,,
2021-08-27,664.0,689.8,710.7266666666667,,,,,
2021-08-30,661.0,689.36,710.22,,,,,
2021-08-31,682.0,689.48,709.86,,,,,
2021-09-01,687.0,689.62,709.4733333333334,,,,,
2021-09-02,685.0,689.32,709.2666666666667,,,,,
2021-09-06,679.0,688.9,708.6933333333334,,,,,
2021-09-08,682.0,688.5,708.1,,,,,
