date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2024-10-01,1667.0,,,,,,,
2024-10-02,1703.0,,,,,,,
2024-10-03,1675.0,,,,,,,
2024-10-04,1611.0,,,,,,,
2024-10-07,1586.0,,,,,,,
2024-10-08,1580.0,,,,,,,
2024-10-09,1536.0,,,,,,,
2024-10-10,1507.0,,,,,,,
2024-10-11,1465.0,,,,,,,
2024-10-15,1532.0,,,,,,,
2024-10-16,1526.0,,,,,,,
2024-10-17,1593.0,,,,,,,
2024-10-18,1532.0,,,,,,,
2024-10-21,1519.0,,,,,,,
2024-10-22,1498.0,,,,,,,
2024-10-23,1465.0,,,,,,,
2024-10-24,1398.0,,,,,,,
2024-10-25,1408.0,,,,,,,
2024-10-28,1420.0,,,,,,,
2024-10-29,1478.0,,,,,,,
2024-10-30,1444.0,,,,,,,
2024-10-31,1474.0,,,,,,,
2024-11-01,1450.0,,,,,,,
2024-11-05,1465.0,,,,,,,
2024-11-06,1439.0,,,,,,,
2024-11-07,1437.0,,,,,,,
2024-11-08,1437.0,,,,,,,
2024-11-11,1469.0,,,,,,,
2024-11-12,1502.0,,,,,,,
2024-11-13,1455.0,,,,,,,
2024-11-14,1451.0,,,,,,,
2024-11-15,1447.0,,,,,,,
2024-11-18,1414.0,,,,,,,
2024-11-19,1420.0,,,,,,,
2024-11-20,1400.0,,,,,,,
2024-11-21,1401.0,,,,,,,
2024-11-22,1408.0,,,,,,,
2024-11-25,1405.0,,,,,,,
2024-11-26,1401.0,,,,,,,
2024-11-27,1390.0,,,,,,,
2024-11-28,1402.0,,,,,,,
2024-11-29,1429.0,,,,,,,
2024-12-02,1437.0,,,,,,,
2024-12-03,1431.0,,,,,,,
2024-12-04,1402.0,,,,,,,
2024-12-05,1403.0,,,,,,,
2024-12-06,1393.0,,,,,,,
2024-12-09,1393.0,,,,,,,
2024-12-10,1401.0,,,,,,,
2024-12-11,1402.0,1470.02,,,,,,
2024-12-12,1402.0,1464.72,,,,,,
2024-12-13,1409.0,1458.84,,,,,,
2024-12-16,1407.0,1453.48,,,,,,
2024-12-17,1404.0,1449.34,,,,,,
2024-12-18,1402.0,1445.66,,,,,,
2024-12-19,1362.0,1441.3,,,,,,
2024-12-20,1350.0,1437.58,,,,,,
2024-12-23,1351.0,1434.46,,,,,,
2024-12-24,1352.0,1432.2,,,,,,
2024-12-25,1363.0,1428.82,,,,,,
2024-12-26,1368.0,1425.66,,,,,,
2024-12-27,1393.0,1421.66,,,,,,
2024-12-30,1391.0,1418.84,,,,,,
2025-01-06,1400.0,1416.46,,,,,,
2025-01-07,1433.0,1415.16,,,,,,
2025-01-08,1406.0,1413.98,,,,,,
2025-01-09,1395.0,1413.92,,,,,,
2025-01-10,1399.0,1413.74,,,,,,
2025-01-14,1388.0,1413.1,,,,,,
2025-01-15,1382.0,1411.18,,,,,,
2025-01-16,1388.0,1410.06,,,,,,
2025-01-17,1387.0,1408.32,,,,,,
2025-01-20,1403.0,1407.38,,,,,,
2025-01-21,1400.0,1406.08,,,,,,
2025-01-22,1402.0,1405.34,,,,,,
2025-01-23,1387.0,1404.34,,,,,,
2025-01-24,1430.0,1404.2,,,,,,
2025-01-27,1430.0,1403.42,,,,,,
2025-01-28,1437.0,1402.12,,,,,,
