date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-18,583.0,,,,,,,
2020-12-21,597.0,,,,,,,
2020-12-22,554.0,,,,,,,
2020-12-23,560.0,,,,,,,
2020-12-24,628.0,,,,,,,
2020-12-25,641.0,,,,,,,
2020-12-28,617.0,,,,,,,
2020-12-29,630.0,,,,,,,
2020-12-30,608.0,,,,,,,
2021-01-04,584.0,,,,,,,
2021-01-05,586.0,,,,,,,
2021-01-06,567.0,,,,,,,
2021-01-07,581.0,,,,,,,
2021-01-08,598.0,,,,,,,
2021-01-12,578.0,,,,,,,
2021-01-13,602.0,,,,,,,
2021-01-14,580.0,,,,,,,
2021-01-15,586.0,,,,,,,
2021-01-18,574.0,,,,,,,
2021-01-19,578.0,,,,,,,
2021-01-20,562.0,,,,,,,
2021-01-21,589.0,,,,,,,
2021-01-22,570.0,,,,,,,
2021-01-25,576.0,,,,,,,
2021-01-26,550.0,,,,,,,
2021-01-27,548.0,,,,,,,
2021-01-28,526.0,,,,,,,
2021-01-29,516.0,,,,,,,
2021-02-01,537.0,,,,,,,
2021-02-02,555.0,,,,,,,
2021-02-03,545.0,,,,,,,
2021-02-04,543.0,,,,,,,
2021-02-05,554.0,,,,,,,
2021-02-08,541.0,,,,,,,
2021-02-09,541.0,,,,,,,
2021-02-10,563.0,,,,,,,
2021-02-12,533.0,,,,,,,
2021-02-15,521.0,,,,,,,
2021-02-16,502.0,,,,,,,
2021-02-17,532.0,,,,,,,
2021-02-18,509.0,,,,,,,
2021-02-19,497.0,,,,,,,
2021-02-22,577.0,,,,,,,
2021-02-24,517.0,,,,,,,
2021-02-25,502.0,,,,,,,
2021-02-26,486.0,,,,,,,
2021-03-01,496.0,,,,,,,
2021-03-02,483.0,,,,,,,
2021-03-03,467.0,,,,,,,
2021-03-04,459.0,554.58,,,,,,
2021-03-05,468.0,552.28,,,,,,
2021-03-08,459.0,549.52,,,,,,
2021-03-09,478.0,548.0,,,,,,
2021-03-10,483.0,546.46,,,,,,
2021-03-11,485.0,543.6,,,,,,
2021-03-12,490.0,540.58,,,,,,
2021-03-15,491.0,538.06,,,,,,
2021-03-16,493.0,535.32,,,,,,
2021-03-17,494.0,533.04,,,,,,
2021-03-18,505.0,531.46,,,,,,
2021-03-19,492.0,529.58,,,,,,
2021-03-22,497.0,528.18,,,,,,
2021-03-23,478.0,526.12,,,,,,
2021-03-24,456.0,523.28,,,,,,
2021-03-25,465.0,521.02,,,,,,
2021-03-26,496.0,518.9,,,,,,
2021-03-29,484.0,516.98,,,,,,
2021-03-30,495.0,515.16,,,,,,
2021-03-31,502.0,513.72,,,,,,
2021-04-01,503.0,512.22,,,,,,
2021-04-02,513.0,511.24,,,,,,
2021-04-05,513.0,509.72,,,,,,
2021-04-06,500.0,508.32,,,,,,
2021-04-07,508.0,506.96,,,,,,
2021-04-08,503.0,506.02,,,,,,
2021-04-09,495.0,504.96,,,,,,
2021-04-12,489.0,504.22,,,,,,
2021-04-13,484.0,503.58,,,,,,
2021-04-14,488.0,502.6,,,,,,
2021-04-15,488.0,501.26,,,,,,
2021-04-16,501.0,500.38,,,,,,
2021-04-19,511.0,499.74,,,,,,
2021-04-20,505.0,498.76,,,,,,
2021-04-21,480.0,497.54,,,,,,
2021-04-22,479.0,496.3,,,,,,
2021-04-23,478.0,494.6,,,,,,
2021-04-26,484.0,493.62,,,,,,
2021-04-27,477.0,492.74,,,,,,
2021-04-28,481.0,492.32,,,,,,
2021-04-30,477.0,491.22,,,,,,
2021-05-06,485.0,490.74,,,,,,
2021-05-07,495.0,490.7,,,,,,
2021-05-10,490.0,488.96,,,,,,
2021-05-11,495.0,488.52,,,,,,
2021-05-12,514.0,488.76,,,,,,
2021-05-13,494.0,488.92,,,,,,
2021-05-14,510.0,489.2,,,,,,
2021-05-17,485.0,489.24,,,,,,
2021-05-18,497.0,489.84,,,,,,
2021-05-19,511.0,490.88,,,,,,
2021-05-20,518.0,491.88,,,,,,
2021-05-21,524.0,493.18,,,,,,
2021-05-24,528.0,494.18,,,,,,
2021-05-25,525.0,495.02,,,,,,
2021-05-26,526.0,495.84,,,,,,
2021-05-27,536.0,496.76,,,,,,
2021-05-28,559.0,498.12,,,,,,
2021-05-31,546.0,499.18,,,,,,
2021-06-01,536.0,500.02,,,,,,
2021-06-02,606.0,502.04,,,,,,
2021-06-03,621.0,504.62,,,,,,
2021-06-04,599.0,506.66,,,,,,
2021-06-07,645.0,510.0,,,,,,
2021-06-08,658.0,514.04,,,,,,
2021-06-09,638.0,517.5,,,,,,
2021-06-10,660.0,520.78,,,,,,
2021-06-11,670.0,524.5,,,,,,
2021-06-14,676.0,528.12,,,,,,
2021-06-15,673.0,531.54,,,,,,
2021-06-16,683.0,535.14,,,,,,
2021-06-17,679.0,538.46,,,,,,
2021-06-18,685.0,541.9,,,,,,
