date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-18,458.0,,,,,,,
2020-12-21,460.0,,,,,,,
2020-12-22,456.0,,,,,,,
2020-12-23,452.0,,,,,,,
2020-12-24,465.0,,,,,,,
2020-12-25,460.0,,,,,,,
2020-12-28,445.0,,,,,,,
2020-12-29,456.0,,,,,,,
2020-12-30,446.0,,,,,,,
2021-01-04,435.0,,,,,,,
2021-01-05,439.0,,,,,,,
2021-01-06,443.0,,,,,,,
2021-01-07,452.0,,,,,,,
2021-01-08,470.0,,,,,,,
2021-01-12,459.0,,,,,,,
2021-01-13,456.0,,,,,,,
2021-01-14,461.0,,,,,,,
2021-01-15,454.0,,,,,,,
2021-01-18,444.0,,,,,,,
2021-01-19,447.0,,,,,,,
2021-01-20,445.0,,,,,,,
2021-01-21,441.0,,,,,,,
2021-01-22,440.0,,,,,,,
2021-01-25,444.0,,,,,,,
2021-01-26,450.0,,,,,,,
2021-01-27,448.0,,,,,,,
2021-01-28,443.0,,,,,,,
2021-01-29,438.0,,,,,,,
2021-02-01,436.0,,,,,,,
2021-02-02,436.0,,,,,,,
2021-02-03,440.0,,,,,,,
2021-02-04,440.0,,,,,,,
2021-02-05,450.0,,,,,,,
2021-02-08,449.0,,,,,,,
2021-02-09,455.0,,,,,,,
2021-02-10,454.0,,,,,,,
2021-02-12,445.0,,,,,,,
2021-02-15,448.0,,,,,,,
2021-02-16,450.0,,,,,,,
2021-02-17,444.0,,,,,,,
2021-02-18,435.0,,,,,,,
2021-02-19,437.0,,,,,,,
2021-02-22,438.0,,,,,,,
2021-02-24,443.0,,,,,,,
2021-02-25,438.0,,,,,,,
2021-02-26,435.0,,,,,,,
2021-03-01,444.0,,,,,,,
2021-03-02,439.0,,,,,,,
2021-03-03,440.0,,,,,,,
2021-03-04,444.0,446.94,,,,,,
2021-03-05,449.0,446.76,,,,,,
2021-03-08,449.0,446.54,,,,,,
2021-03-09,457.0,446.56,,,,,,
2021-03-10,446.0,446.44,,,,,,
2021-03-11,455.0,446.24,,,,,,
2021-03-12,450.0,446.04,,,,,,
2021-03-15,450.0,446.14,,,,,,
2021-03-16,453.0,446.08,,,,,,
2021-03-17,457.0,446.3,,,,,,
2021-03-18,457.0,446.74,,,,,,
2021-03-19,458.0,447.12,,,,,,
2021-03-22,450.0,447.26,,,,,,
2021-03-23,450.0,447.22,,,,,,
2021-03-24,437.0,446.56,,,,,,
2021-03-25,442.0,446.22,,,,,,
2021-03-26,453.0,446.16,,,,,,
2021-03-29,474.0,446.42,,,,,,
2021-03-30,452.0,446.38,,,,,,
2021-03-31,451.0,446.52,,,,,,
2021-04-01,450.0,446.58,,,,,,
2021-04-02,456.0,446.8,,,,,,
2021-04-05,457.0,447.12,,,,,,
2021-04-06,445.0,447.22,,,,,,
2021-04-07,453.0,447.4,,,,,,
2021-04-08,437.0,447.14,,,,,,
2021-04-09,436.0,446.9,,,,,,
2021-04-12,435.0,446.74,,,,,,
2021-04-13,434.0,446.66,,,,,,
2021-04-14,434.0,446.62,,,,,,
2021-04-15,444.0,446.78,,,,,,
2021-04-16,440.0,446.78,,,,,,
2021-04-19,435.0,446.68,,,,,,
2021-04-20,421.0,446.1,,,,,,
