date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-17,607.0,,,,,,,
2020-12-18,600.0,,,,,,,
2020-12-21,601.0,,,,,,,
2020-12-22,589.0,,,,,,,
2020-12-23,604.0,,,,,,,
2020-12-24,604.0,,,,,,,
2020-12-25,607.0,,,,,,,
2020-12-28,611.0,,,,,,,
2020-12-29,615.0,,,,,,,
2020-12-30,610.0,,,,,,,
2021-01-04,610.0,,,,,,,
2021-01-05,606.0,,,,,,,
2021-01-06,607.0,,,,,,,
2021-01-07,612.0,,,,,,,
2021-01-08,615.0,,,,,,,
2021-01-12,611.0,,,,,,,
2021-01-13,630.0,,,,,,,
2021-01-14,637.0,,,,,,,
2021-01-15,631.0,,,,,,,
2021-01-18,625.0,,,,,,,
2021-01-19,619.0,,,,,,,
2021-01-20,613.0,,,,,,,
2021-01-21,614.0,,,,,,,
2021-01-22,619.0,,,,,,,
2021-01-25,625.0,,,,,,,
2021-01-26,619.0,,,,,,,
2021-01-27,619.0,,,,,,,
2021-01-28,616.0,,,,,,,
2021-01-29,601.0,,,,,,,
2021-02-01,608.0,,,,,,,
2021-02-02,615.0,,,,,,,
2021-02-03,627.0,,,,,,,
2021-02-04,630.0,,,,,,,
2021-02-05,637.0,,,,,,,
2021-02-08,689.0,,,,,,,
2021-02-09,712.0,,,,,,,
2021-02-10,702.0,,,,,,,
2021-02-12,699.0,,,,,,,
2021-02-15,704.0,,,,,,,
2021-02-16,698.0,,,,,,,
2021-02-17,697.0,,,,,,,
2021-02-18,689.0,,,,,,,
2021-02-19,679.0,,,,,,,
2021-02-22,685.0,,,,,,,
2021-02-24,676.0,,,,,,,
2021-02-25,680.0,,,,,,,
2021-02-26,671.0,,,,,,,
2021-03-01,685.0,,,,,,,
2021-03-02,699.0,,,,,,,
2021-03-03,706.0,639.3,,,,,,
2021-03-04,709.0,641.34,,,,,,
2021-03-05,703.0,643.4,,,,,,
2021-03-08,697.0,645.32,,,,,,
2021-03-09,712.0,647.78,,,,,,
2021-03-10,717.0,650.04,,,,,,
2021-03-11,734.0,652.64,,,,,,
2021-03-12,727.0,655.04,,,,,,
2021-03-15,737.0,657.56,,,,,,
2021-03-16,730.0,659.86,,,,,,
2021-03-17,719.0,662.04,,,,,,
2021-03-18,715.0,664.14,,,,,,
2021-03-19,722.0,666.46,,,,,,
2021-03-22,716.0,668.64,,,,,,
2021-03-23,705.0,670.5,,,,,,
2021-03-24,689.0,671.98,,,,,,
2021-03-25,706.0,673.88,,,,,,
2021-03-26,714.0,675.56,,,,,,
2021-03-29,712.0,677.06,,,,,,
2021-03-30,692.0,678.28,,,,,,
2021-03-31,673.0,679.24,,,,,,
2021-04-01,673.0,680.32,,,,,,
2021-04-02,666.0,681.38,,,,,,
2021-04-05,682.0,682.74,,,,,,
2021-04-06,673.0,683.82,,,,,,
2021-04-07,684.0,685.0,,,,,,
2021-04-08,669.0,686.0,,,,,,
2021-04-09,670.0,687.02,,,,,,
2021-04-12,666.0,688.02,,,,,,
2021-04-13,668.0,689.36,,,,,,
2021-04-14,664.0,690.48,,,,,,
2021-04-15,662.0,691.42,,,,,,
2021-04-16,660.0,692.08,,,,,,
2021-04-19,656.0,692.6,,,,,,
2021-04-20,650.0,692.86,,,,,,
2021-04-21,629.0,691.66,,,,,,
2021-04-22,651.0,690.44,,,,,,
