date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2021-01-15,766.5,,,,,,,
2021-01-18,765.0,,,,,,,
2021-01-19,768.5,,,,,,,
2021-01-20,769.5,,,,,,,
2021-01-21,769.5,,,,,,,
2021-01-22,769.0,,,,,,,
2021-01-25,764.0,,,,,,,
2021-01-26,768.5,,,,,,,
2021-01-27,762.5,,,,,,,
2021-02-02,760.0,,,,,,,
2021-02-03,760.0,,,,,,,
2021-02-04,774.5,,,,,,,
2021-02-05,760.0,,,,,,,
2021-02-08,755.0,,,,,,,
2021-02-09,775.0,,,,,,,
2021-02-10,768.0,,,,,,,
2021-02-12,824.0,,,,,,,
2021-02-15,830.0,,,,,,,
2021-02-16,846.5,,,,,,,
2021-02-17,852.0,,,,,,,
2021-02-18,850.0,,,,,,,
2021-02-19,853.5,,,,,,,
2021-02-22,855.0,,,,,,,
2021-02-24,847.5,,,,,,,
2021-02-25,857.5,,,,,,,
2021-02-26,847.5,,,,,,,
2021-03-01,875.0,,,,,,,
2021-03-02,854.0,,,,,,,
2021-03-03,825.5,,,,,,,
2021-03-04,847.0,,,,,,,
2021-03-05,847.5,,,,,,,
2021-03-08,845.0,,,,,,,
2021-03-09,846.0,,,,,,,
2021-03-10,874.0,,,,,,,
2021-03-11,885.0,,,,,,,
2021-03-12,875.0,,,,,,,
2021-03-15,878.0,,,,,,,
2021-03-16,878.0,,,,,,,
2021-03-17,889.5,,,,,,,
2021-03-18,899.0,,,,,,,
2021-03-19,873.5,,,,,,,
2021-03-22,884.5,,,,,,,
2021-03-23,868.0,,,,,,,
2021-03-24,868.5,,,,,,,
2021-03-25,853.5,,,,,,,
2021-03-26,851.5,,,,,,,
2021-03-29,853.0,,,,,,,
2021-03-31,870.0,,,,,,,
2021-04-01,870.0,,,,,,,
2021-04-02,869.5,829.99,,,,,,
2021-04-05,859.5,831.85,,,,,,
2021-04-06,855.5,833.66,,,,,,
2021-04-07,867.0,835.63,,,,,,
2021-04-08,867.0,837.58,,,,,,
2021-04-09,853.5,839.26,,,,,,
2021-04-12,853.5,840.95,,,,,,
2021-04-13,879.0,843.25,,,,,,
