saved_at,run_id,lookback,entry_z,exit_z,stop_z,max_holding_days,trade_count,win_rate,total_pnl,avg_pnl,min_trades,start_date,end_date,param_grid
2026-03-17T08:48:03,20260317084803182882,40,2.0,0.3,3.0,10,809,0.6266996291718171,27.91666616145322,0.03450762195482475,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.5,3.0,20,703,0.6742532005689901,27.55379014686671,0.039194580578757764,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.3,3.0,20,661,0.6550680786686838,27.504111059561936,0.041609850317037726,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.0,0.5,3.5,10,717,0.701534170153417,27.234990732369504,0.037984645372900284,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.5,3.5,20,585,0.7401709401709402,26.914802820896597,0.046008209950250595,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.0,0.5,3.0,10,827,0.6324062877871826,26.869900275864023,0.03249081049076665,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,1.5,0.5,3.0,10,926,0.6598272138228942,26.862404252931615,0.029009075867096775,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,1.5,0.5,3.5,10,811,0.7090012330456227,26.74965207968869,0.03298354140528815,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,1.5,0.3,3.0,10,892,0.6457399103139013,26.55925481820376,0.029774949347762064,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.3,3.5,20,478,0.698744769874477,26.542195474388944,0.055527605594955946,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.3,3.5,20,547,0.7257769652650823,26.532831158064205,0.048506089868490324,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,1.5,0.3,3.5,10,780,0.6961538461538461,26.10726127659437,0.0334708477905056,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.3,3.0,10,799,0.6545682102628285,26.07969838588082,0.0326404235117407,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.5,3.5,20,492,0.7032520325203252,25.595738092799884,0.05202385791219489,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.5,3.0,10,819,0.6593406593406593,25.48484939428407,0.031117032227453077,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.3,3.0,20,578,0.6003460207612457,25.448017745357568,0.04402771236221033,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.3,3.5,10,705,0.7021276595744681,24.826470853422705,0.03521485227435845,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,1.5,0.5,3.5,10,724,0.7071823204419889,24.778895902114236,0.03422499433993679,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.3,3.5,20,481,0.6923076923076923,24.75832120211908,0.05147260125180682,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
